model,model_display,panel_order,k,budget,budget_order,final_sufficiency,highlight_path
openai_gpt-oss-20B_high,gpt-oss-20B-high,5,1,9x1,10,0.9325,
openai_gpt-oss-20B_high,gpt-oss-20B-high,5,1,10x1,11,0.9275,
openai_gpt-oss-20B_high,gpt-oss-20B-high,5,1,No budget,12,0.935,
openai_gpt-oss-20B_high,gpt-oss-20B-high,5,2,1x4,0,0.2975,1x4 → 2x2 → 4x1
openai_gpt-oss-20B_high,gpt-oss-20B-high,5,2,2x1,1,0.17,
openai_gpt-oss-20B_high,gpt-oss-20B-high,5,2,2x2,2,0.395,1x4 → 2x2 → 4x1
openai_gpt-oss-20B_high,gpt-oss-20B-high,5,2,3x1,3,0.34,
openai_gpt-oss-20B_high,gpt-oss-20B-high,5,2,3x2,4,0.58,3x2 → 6x1
openai_gpt-oss-20B_high,gpt-oss-20B-high,5,2,4x1,5,0.49,1x4 → 2x2 → 4x1
openai_gpt-oss-20B_high,gpt-oss-20B-high,5,2,5x1,6,0.605,
openai_gpt-oss-20B_high,gpt-oss-20B-high,5,2,6x1,7,0.6975,3x2 → 6x1
openai_gpt-oss-20B_high,gpt-oss-20B-high,5,2,7x1,8,0.7425,
openai_gpt-oss-20B_high,gpt-oss-20B-high,5,2,8x1,9,0.765,
openai_gpt-oss-20B_high,gpt-oss-20B-high,5,2,9x1,10,0.8075,
openai_gpt-oss-20B_high,gpt-oss-20B-high,5,2,10x1,11,0.8175,
openai_gpt-oss-20B_high,gpt-oss-20B-high,5,2,No budget,12,0.84,
openai_gpt-oss-20B_high,gpt-oss-20B-high,5,3,1x4,0,0.1375,1x4 → 2x2 → 4x1
openai_gpt-oss-20B_high,gpt-oss-20B-high,5,3,2x1,1,0.0125,
openai_gpt-oss-20B_high,gpt-oss-20B-high,5,3,2x2,2,0.21,1x4 → 2x2 → 4x1
openai_gpt-oss-20B_high,gpt-oss-20B-high,5,3,3x1,3,0.1075,
openai_gpt-oss-20B_high,gpt-oss-20B-high,5,3,3x2,4,0.45,3x2 → 6x1
